id,path,name
aclu/us-congress-districts/district:0,ak/ak_86_to_115_0.lookup.geojson,ak 86 to 115 0
aclu/us-congress-districts/district:1,al/al_103_to_107_1.lookup.geojson,al 103 to 107 1
aclu/us-congress-districts/district:2,al/al_103_to_107_2.lookup.geojson,al 103 to 107 2
aclu/us-congress-districts/district:3,al/al_103_to_107_3.lookup.geojson,al 103 to 107 3
aclu/us-congress-districts/district:4,al/al_103_to_107_4.lookup.geojson,al 103 to 107 4
aclu/us-congress-districts/district:5,al/al_103_to_107_5.lookup.geojson,al 103 to 107 5
aclu/us-congress-districts/district:6,al/al_103_to_107_6.lookup.geojson,al 103 to 107 6
aclu/us-congress-districts/district:7,al/al_103_to_107_7.lookup.geojson,al 103 to 107 7
aclu/us-congress-districts/district:8,al/al_108_to_112_1.lookup.geojson,al 108 to 112 1
aclu/us-congress-districts/district:9,al/al_108_to_112_2.lookup.geojson,al 108 to 112 2
aclu/us-congress-districts/district:10,al/al_108_to_112_3.lookup.geojson,al 108 to 112 3
aclu/us-congress-districts/district:11,al/al_108_to_112_4.lookup.geojson,al 108 to 112 4
aclu/us-congress-districts/district:12,al/al_108_to_112_5.lookup.geojson,al 108 to 112 5
aclu/us-congress-districts/district:13,al/al_108_to_112_6.lookup.geojson,al 108 to 112 6
aclu/us-congress-districts/district:14,al/al_108_to_112_7.lookup.geojson,al 108 to 112 7
aclu/us-congress-districts/district:15,al/al_113_to_115_1.lookup.geojson,al 113 to 115 1
aclu/us-congress-districts/district:16,al/al_113_to_115_2.lookup.geojson,al 113 to 115 2
aclu/us-congress-districts/district:17,al/al_113_to_115_3.lookup.geojson,al 113 to 115 3
aclu/us-congress-districts/district:18,al/al_113_to_115_4.lookup.geojson,al 113 to 115 4
aclu/us-congress-districts/district:19,al/al_113_to_115_5.lookup.geojson,al 113 to 115 5
aclu/us-congress-districts/district:20,al/al_113_to_115_6.lookup.geojson,al 113 to 115 6
aclu/us-congress-districts/district:21,al/al_113_to_115_7.lookup.geojson,al 113 to 115 7
aclu/us-congress-districts/district:22,al/al_16_to_17_0.lookup.geojson,al 16 to 17 0
aclu/us-congress-districts/district:23,al/al_18_to_22_-1.lookup.geojson,al 18 to 22 -1
